RM,AGE,DIS,RAD,TAX,PTRATIO,LSTAT,PRICE
6.103,85.1,2.0218,24.0,666.0,20.2,23.29,13.4
5.565,70.6,2.0635,24.0,666.0,20.2,17.16,11.7
5.896,95.4,1.9096,24.0,666.0,20.2,24.39,8.3
5.837,59.7,1.9976,24.0,666.0,20.2,15.69,10.2
6.202,78.7,1.8629,24.0,666.0,20.2,14.52,10.9
6.193,78.1,1.9356,24.0,666.0,20.2,21.52,11.0
6.38,95.6,1.9682,24.0,666.0,20.2,24.08,9.5
6.348,86.1,2.0527,24.0,666.0,20.2,17.64,14.5
6.833,94.3,2.0882,24.0,666.0,20.2,19.69,14.1
6.425,74.8,2.2004,24.0,666.0,20.2,12.03,16.1
6.436,87.9,2.3158,24.0,666.0,20.2,16.22,14.3
6.208,95.0,2.2222,24.0,666.0,20.2,15.17,11.7
6.629,94.6,2.1247,24.0,666.0,20.2,23.27,13.4
6.461,93.3,2.0026,24.0,666.0,20.2,18.05,9.6
6.152,100.0,1.9142,24.0,666.0,20.2,26.45,8.7
5.935,87.9,1.8206,24.0,666.0,20.2,34.02,8.4
5.627,93.9,1.8172,24.0,666.0,20.2,22.88,12.8
5.818,92.4,1.8662,24.0,666.0,20.2,22.11,10.5
6.406,97.2,2.0651,24.0,666.0,20.2,19.52,17.1
6.219,100.0,2.0048,24.0,666.0,20.2,16.59,18.4
6.485,100.0,1.9784,24.0,666.0,20.2,18.85,15.4
5.854,96.6,1.8956,24.0,666.0,20.2,23.79,10.8
6.459,94.8,1.9879,24.0,666.0,20.2,23.98,11.8
6.341,96.4,2.072,24.0,666.0,20.2,17.79,14.9
6.251,96.6,2.198,24.0,666.0,20.2,16.44,12.6
6.185,98.7,2.2616,24.0,666.0,20.2,18.13,14.1
6.417,98.3,2.185,24.0,666.0,20.2,19.31,13.0
6.749,92.6,2.3236,24.0,666.0,20.2,17.44,13.4
6.655,98.2,2.3552,24.0,666.0,20.2,17.73,15.2
6.297,91.8,2.3682,24.0,666.0,20.2,17.27,16.1
7.393,99.3,2.4527,24.0,666.0,20.2,16.74,17.8
6.728,94.1,2.4961,24.0,666.0,20.2,18.71,14.9
6.525,86.5,2.4358,24.0,666.0,20.2,18.13,14.1
5.976,87.9,2.5806,24.0,666.0,20.2,19.01,12.7
5.936,80.3,2.7792,24.0,666.0,20.2,16.94,13.5
6.301,83.7,2.7831,24.0,666.0,20.2,16.23,14.9
6.081,84.4,2.7175,24.0,666.0,20.2,14.7,20.0
6.701,90.0,2.5975,24.0,666.0,20.2,16.42,16.4
6.376,88.4,2.5671,24.0,666.0,20.2,14.65,17.7
6.317,83.0,2.7344,24.0,666.0,20.2,13.99,19.5
6.513,89.9,2.8016,24.0,666.0,20.2,10.29,20.2
6.209,65.4,2.9634,24.0,666.0,20.2,13.22,21.4
5.759,48.2,3.0665,24.0,666.0,20.2,14.13,19.9
5.952,84.7,2.8715,24.0,666.0,20.2,17.15,19.0
6.003,94.5,2.5403,24.0,666.0,20.2,21.32,19.1
5.926,71.0,2.9084,24.0,666.0,20.2,18.13,19.1
5.713,56.7,2.8237,24.0,666.0,20.2,14.76,20.1
6.167,84.0,3.0334,24.0,666.0,20.2,16.29,19.9
6.229,90.7,3.0993,24.0,666.0,20.2,12.87,19.6
6.437,75.0,2.8965,24.0,666.0,20.2,14.36,23.2
6.98,67.6,2.5329,24.0,666.0,20.2,11.66,29.8
5.427,95.4,2.4298,24.0,666.0,20.2,18.14,13.8
6.162,97.4,2.206,24.0,666.0,20.2,24.1,13.3
6.484,93.6,2.3053,24.0,666.0,20.2,18.68,16.7
5.304,97.3,2.1007,24.0,666.0,20.2,24.91,12.0
6.185,96.7,2.1705,24.0,666.0,20.2,18.03,14.6
6.229,88.0,1.9512,24.0,666.0,20.2,13.11,21.4
6.242,64.7,3.4242,24.0,666.0,20.2,10.74,23.0
6.75,74.9,3.3317,24.0,666.0,20.2,7.74,23.7
7.061,77.0,3.4106,24.0,666.0,20.2,7.01,25.0
5.762,40.3,4.0983,24.0,666.0,20.2,10.42,21.8
5.871,41.9,3.724,24.0,666.0,20.2,13.34,20.6
6.312,51.9,3.9917,24.0,666.0,20.2,10.58,21.2
6.114,79.8,3.5459,24.0,666.0,20.2,14.98,19.1
5.905,53.2,3.1523,24.0,666.0,20.2,11.45,20.6
5.454,92.7,1.8209,4.0,711.0,20.1,18.06,15.2
5.414,98.3,1.7554,4.0,711.0,20.1,23.97,7.0
5.093,98.0,1.8226,4.0,711.0,20.1,29.68,8.1
5.983,98.8,1.8681,4.0,711.0,20.1,18.07,13.6
5.983,83.5,2.1099,4.0,711.0,20.1,13.35,20.1
5.707,54.0,2.3817,6.0,391.0,19.2,12.01,21.8
5.926,42.6,2.3817,6.0,391.0,19.2,13.59,24.5
5.67,28.8,2.7986,6.0,391.0,19.2,17.6,23.1
5.39,72.9,2.7986,6.0,391.0,19.2,21.14,19.7
5.794,70.6,2.8927,6.0,391.0,19.2,14.1,18.3
6.019,65.3,2.4091,6.0,391.0,19.2,12.92,21.2
5.569,73.5,2.3999,6.0,391.0,19.2,15.1,17.5
6.027,79.7,2.4982,6.0,391.0,19.2,14.33,16.8
6.593,69.1,2.4786,1.0,273.0,21.0,9.67,22.4
6.12,76.7,2.2875,1.0,273.0,21.0,9.08,20.6
6.976,91.0,2.1675,1.0,273.0,21.0,5.64,23.9
6.794,89.3,2.3889,1.0,273.0,21.0,6.48,22.0
6.03,80.8,2.505,1.0,273.0,21.0,7.88,11.9
